mu,var_g,var_b,var_h,var_e,h[1],h[2],b[1],g[1],b[2],g[2],yhat[1],yhat[2],yhat[3],yhat[4],yhat[500],yhat[501],yhat[502],yhat[503],yhat[999],yhat[1000],yhat[1001],yhat[1002],yhat[1498],yhat[1499],yhat[1500],yhat[1501],yhat[1997],yhat[1998],yhat[2488],yhat[2489]
120.194410,360.939147,0.472670,892.948785,447.088084,9.995059,24.293587,0.293458,22.476170,0.054239,18.532303,155.598772,155.598772,149.263893,149.263893,155.598772,155.598772,149.263893,149.263893,155.598772,155.598772,149.263893,149.263893,155.598772,155.598772,149.263893,149.263893,164.337958,164.337958,164.337958,164.337958
120.193931,406.923360,0.518268,1069.150236,450.780426,9.920745,25.876368,0.570718,23.222379,0.069026,19.484231,158.999006,158.999006,150.283697,150.283697,158.999006,158.999006,150.283697,150.283697,158.999006,158.999006,150.283697,150.283697,158.999006,158.999006,150.283697,150.283697,167.340674,167.340674,167.340674,167.340674
120.330315,370.361021,0.519624,730.369132,460.939933,9.554264,23.284254,0.549749,15.484284,-0.086399,19.934683,150.621310,150.621310,148.993783,148.993783,150.621310,150.621310,148.993783,148.993783,150.621310,150.621310,148.993783,148.993783,150.621310,150.621310,148.993783,148.993783,161.537513,161.537513,161.537513,161.537513
119.854616,408.901417,0.500505,543.288809,450.522668,10.485063,24.771429,0.435324,22.847926,0.061888,20.905206,157.752008,157.752008,151.893786,151.893786,157.752008,157.752008,151.893786,151.893786,157.752008,157.752008,151.893786,151.893786,157.752008,157.752008,151.893786,151.893786,167.064308,167.064308,167.064308,167.064308
120.260392,362.240941,0.478440,372.494811,457.844036,9.518390,24.324361,0.393151,17.720754,-0.004471,16.642102,151.241699,151.241699,146.378328,146.378328,151.241699,151.241699,146.378328,146.378328,151.241699,151.241699,146.378328,146.378328,151.241699,151.241699,146.378328,146.378328,161.118102,161.118102,161.118102,161.118102
119.726164,333.706593,0.489510,1110.745206,464.792696,10.124103,24.998197,0.169347,25.577081,-0.088863,20.765450,157.141829,157.141829,149.716059,149.716059,157.141829,157.141829,149.716059,149.716059,157.141829,157.141829,149.716059,149.716059,157.141829,157.141829,149.716059,149.716059,163.268396,163.268396,163.268396,163.268396
119.360142,367.498611,0.506179,738.080108,446.919397,10.177166,26.522083,0.797261,25.268507,-0.017375,21.351294,162.919677,162.919677,150.711772,150.711772,162.919677,162.919677,150.711772,150.711772,162.919677,162.919677,150.711772,150.711772,162.919677,162.919677,150.711772,150.711772,166.772695,166.772695,166.772695,166.772695
119.848548,399.822135,0.485015,1329.408872,450.669349,9.071520,25.095067,0.464244,29.131127,-0.040379,17.415328,162.262598,162.262598,145.969094,145.969094,162.262598,162.262598,145.969094,145.969094,162.262598,162.262598,145.969094,145.969094,162.262598,162.262598,145.969094,145.969094,161.345621,161.345621,161.345621,161.345621
121.214349,389.605174,0.449220,576.472280,466.180578,9.997170,24.168148,0.401506,29.410358,0.039335,13.567220,164.635804,164.635804,145.171978,145.171978,164.635804,164.635804,145.171978,145.171978,164.635804,164.635804,145.171978,145.171978,164.635804,164.635804,145.171978,145.171978,159.900370,159.900370,159.900370,159.900370
120.897455,383.616691,0.429549,876.055724,453.284828,10.508292,24.020342,0.509701,22.729267,-0.114980,15.560766,159.491097,159.491097,145.758266,145.758266,159.491097,159.491097,145.758266,145.758266,159.491097,159.491097,145.758266,145.758266,159.491097,159.491097,145.758266,145.758266,157.716696,157.716696,157.716696,157.716696
120.783396,367.788629,0.459774,1336.215070,450.544041,8.487086,25.246437,0.508231,26.820200,0.131891,15.731290,160.404081,160.404081,146.121143,146.121143,160.404081,160.404081,146.121143,146.121143,160.404081,160.404081,146.121143,146.121143,160.404081,160.404081,146.121143,146.121143,165.090900,165.090900,165.090900,165.090900
121.225135,373.666510,0.506630,904.976631,459.043561,9.300134,24.422611,0.407619,23.261593,-0.119160,18.408773,157.577774,157.577774,147.825837,147.825837,157.577774,157.577774,147.825837,147.825837,157.577774,157.577774,147.825837,147.825837,157.577774,157.577774,147.825837,147.825837,161.146318,161.146318,161.146318,161.146318
121.200147,368.414521,0.498517,563.250785,466.631930,8.374433,24.332214,0.492598,21.880936,-0.188920,20.707295,155.580744,155.580744,148.699781,148.699781,155.580744,155.580744,148.699781,148.699781,155.580744,155.580744,148.699781,148.699781,155.580744,155.580744,148.699781,148.699781,161.642825,161.642825,161.642825,161.642825
120.232597,368.373498,0.467186,506.407277,452.806910,8.578559,24.058266,0.197445,23.309879,0.088937,17.095789,153.814833,153.814833,146.669896,146.669896,153.814833,153.814833,146.669896,146.669896,153.814833,153.814833,146.669896,146.669896,153.814833,153.814833,146.669896,146.669896,163.526321,163.526321,163.526321,163.526321
120.748828,379.954425,0.534128,799.907773,456.875908,8.130904,24.260815,0.459494,28.339863,-0.001479,19.524968,160.955693,160.955693,148.392678,148.392678,160.955693,160.955693,148.392678,148.392678,160.955693,160.955693,148.392678,148.392678,160.955693,160.955693,148.392678,148.392678,164.498739,164.498739,164.498739,164.498739
120.176501,361.853855,0.529840,691.856469,470.734109,8.759204,22.953673,0.498782,21.769560,-0.078693,21.145591,155.074202,155.074202,149.392006,149.392006,155.074202,155.074202,149.392006,149.392006,155.074202,155.074202,149.392006,149.392006,155.074202,155.074202,149.392006,149.392006,162.469466,162.469466,162.469466,162.469466
121.112793,355.622737,0.462720,1174.806599,452.046336,7.946935,23.084615,0.428337,29.908871,-0.031666,16.369018,162.372562,162.372562,145.177101,145.177101,162.372562,162.372562,145.177101,145.177101,162.372562,162.372562,145.177101,145.177101,162.372562,162.372562,145.177101,145.177101,159.835440,159.835440,159.835440,159.835440
120.234563,355.328608,0.475731,993.818810,456.018957,8.563300,23.120785,0.554224,22.673288,-0.152386,17.685047,156.217139,156.217139,145.177982,145.177982,156.217139,156.217139,145.177982,145.177982,156.217139,156.217139,145.177982,145.177982,156.217139,156.217139,145.177982,145.177982,157.517108,157.517108,157.517108,157.517108
120.793041,402.800775,0.468289,558.842369,459.291244,8.107272,24.360917,0.230367,27.628031,0.052926,15.401575,158.395992,158.395992,144.730969,144.730969,158.395992,158.395992,144.730969,144.730969,158.395992,158.395992,144.730969,144.730969,158.395992,158.395992,144.730969,144.730969,161.844848,161.844848,161.844848,161.844848
120.096726,379.836435,0.476098,740.078272,460.961087,7.089088,23.044222,0.663151,17.476553,-0.007592,15.727340,149.363499,149.363499,142.859336,142.859336,149.363499,149.363499,142.859336,142.859336,149.363499,149.363499,142.859336,142.859336,149.363499,149.363499,142.859336,142.859336,158.693346,158.693346,158.693346,158.693346
121.228871,374.109521,0.471928,915.119941,459.378638,8.730770,23.615865,0.479313,21.811202,-0.210026,18.153887,155.955615,155.955615,146.279839,146.279839,155.955615,155.955615,146.279839,146.279839,155.955615,155.955615,146.279839,146.279839,155.955615,155.955615,146.279839,146.279839,158.038678,158.038678,158.038678,158.038678
121.152698,363.739657,0.442693,1191.353557,462.877870,8.694684,23.669060,0.428065,19.017443,0.028451,16.017364,152.586719,152.586719,146.112118,146.112118,152.586719,152.586719,146.112118,146.112118,152.586719,152.586719,146.112118,146.112118,152.586719,152.586719,146.112118,146.112118,161.512528,161.512528,161.512528,161.512528
121.178889,412.662550,0.508780,666.123325,456.032198,9.581669,24.823026,0.485514,20.126223,-0.052826,13.713947,155.538812,155.538812,143.968340,143.968340,155.538812,155.538812,143.968340,143.968340,155.538812,155.538812,143.968340,143.968340,155.538812,155.538812,143.968340,143.968340,158.404551,158.404551,158.404551,158.404551
121.182478,431.291853,0.440920,1581.523479,455.673544,7.825589,23.049822,0.388379,24.139032,0.090436,15.436618,156.186390,156.186390,145.152398,145.152398,156.186390,156.186390,145.152398,145.152398,156.186390,156.186390,145.152398,145.152398,156.186390,156.186390,145.152398,145.152398,161.753447,161.753447,161.753447,161.753447
