#TIME Node0_NumHit Node1_NumHit Node0_NumMiss Node1_NumMiss Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1518729920 23378532 23493938 1774780 95631 23378115 23488885 1775198 100684 92341.85 93545.96 4623.61 4758.04
1518729930 23378592 23493967 1774780 95631 23378174 23488914 1775198 100684 92342.37 90490.75 4623.68 7813.86
1518729940 23378651 23493976 1774780 95631 23378233 23488923 1775198 100684 92341.02 90490.04 4624.55 7813.96
1518729950 23378713 23493985 1774780 95631 23378295 23488932 1775198 100684 92341.28 90489.91 4624.15 7814.09
1518729961 23378772 23493994 1774780 95631 23378354 23488941 1775198 100684 92341.31 90489.98 4624.62 7814.02
1518729971 23378831 23494004 1774780 95631 23378414 23488951 1775198 100684 92341.64 90490.82 4623.96 7813.79
1518729981 23378890 23494014 1774780 95631 23378472 23488961 1775198 100684 92341.84 90490.36 4624.07 7813.64
1518729991 23378952 23494023 1774780 95631 23378534 23488970 1775198 100684 92342.17 90490.86 4623.34 7813.14
1518730001 23379012 23494032 1774780 95631 23378594 23488979 1775198 100684 92342.27 90490.63 4624.16 7813.37
1518730011 23379071 23494041 1774780 95631 23378653 23488988 1775198 100684 92343.25 90490.96 4622.67 7813.64
1518730021 23379129 23494052 1774780 95631 23378712 23488999 1775198 100684 92343.49 90490.23 4622.54 7813.77
1518730032 23379190 23494062 1774780 95631 23378772 23489009 1775198 100684 92341.91 90491.34 4623.58 7813.27
1518730042 23379250 23494072 1774780 95631 23378833 23489019 1775198 100684 92344.16 90491.29 4621.88 7813.32
1518730052 23379307 23494082 1774780 95631 23378890 23489029 1775198 100684 92342.60 90490.71 4622.83 7813.29
1518730062 23379368 23494092 1774780 95631 23378950 23489039 1775198 100684 92342.90 90491.00 4622.59 7813.00
1518730072 23379425 23494103 1774780 95631 23379008 23489050 1775198 100684 92342.59 90491.51 4623.18 7813.09
1518730082 23379484 23494114 1774780 95631 23379066 23489061 1775198 100684 92341.49 90490.26 4624.56 7813.74
1518730093 23379543 23494125 1774780 95631 23379125 23489072 1775198 100684 92341.87 90491.09 4623.56 7813.50
1518730103 23379602 23494135 1774780 95631 23379184 23489082 1775198 100684 92343.00 90490.38 4622.43 7813.62
1518730113 23379661 23494146 1774780 95631 23379244 23489093 1775198 100684 92342.27 90491.22 4624.14 7813.38
1518730123 23379721 23494156 1774780 95631 23379303 23489103 1775198 100684 92343.20 90490.96 4622.25 7813.64
1518730133 23379780 23494167 1774780 95631 23379363 23489114 1775198 100684 92342.18 90490.82 4623.76 7813.79
1518730143 23379841 23494175 1774780 95631 23379424 23489122 1775198 100684 92341.67 90490.58 4624.26 7813.42
1518730153 23379901 23494185 1774780 95631 23379484 23489132 1775198 100684 92341.32 90490.54 4624.63 7814.05
1518730164 23379961 23494195 1774780 95631 23379543 23489142 1775198 100684 92340.57 90490.78 4624.39 7813.83
1518730174 23380020 23494206 1774780 95631 23379603 23489153 1775198 100684 92341.36 90490.67 4624.13 7813.44
1518730184 23380080 23494216 1774780 95631 23379662 23489163 1775198 100684 92343.21 90490.66 4623.22 7813.94
1518730194 23380139 23494226 1774780 95631 23379722 23489173 1775198 100684 92343.18 90490.43 4622.28 7813.57
1518730204 23380199 23494236 1774780 95631 23379781 23489183 1775198 100684 92341.87 90490.27 4623.06 7813.73
1518730214 23380260 23494245 1774780 95631 23379843 23489191 1775198 100684 92342.28 90491.67 4624.23 7812.94
1518730224 23380320 23494254 1774780 95631 23379902 23489201 1775198 100684 92341.62 90490.93 4623.33 7813.07
1518730235 23380379 23494265 1774780 95631 23379961 23489212 1775198 100684 92340.28 90491.23 4625.75 7813.36
1518730245 23380439 23494274 1774780 95631 23380021 23489221 1775198 100684 92342.06 90491.77 4623.95 7812.84
1518730255 23380498 23494284 1774780 95631 23380080 23489231 1775198 100684 92338.89 90491.28 4626.53 7812.72
1518730265 23380560 23494293 1774780 95631 23380142 23489240 1775198 100684 92341.42 90490.55 4624.63 7813.45
1518730275 23380618 23494303 1774780 95631 23380201 23489250 1775198 100684 92341.69 90490.84 4623.79 7812.66
1518730285 23380679 23494313 1774780 95631 23380261 23489260 1775198 100684 92340.62 90490.99 4624.31 7813.01
1518730295 23380738 23494323 1774780 95631 23380321 23489270 1775198 100684 92339.75 90491.50 4625.78 7813.10
1518730306 23380799 23494332 1774780 95631 23380381 23489279 1775198 100684 92340.03 90491.89 4624.95 7812.11
1518730316 23380859 23494341 1774780 95631 23380442 23489288 1775198 100684 92341.42 90491.86 4623.73 7812.14
1518730326 23380917 23494352 1774780 95631 23380500 23489299 1775198 100684 92339.71 90492.36 4626.34 7811.64
1518730336 23380980 23494361 1774780 95631 23380562 23489308 1775198 100684 92340.45 90492.35 4624.48 7812.25
1518730346 23381039 23494370 1774780 95631 23380621 23489316 1775198 100684 92340.79 90492.35 4625.14 7811.65
1518730356 23381097 23494381 1774780 95631 23380680 23489328 1775198 100684 92342.00 90492.00 4623.49 7811.51
1518730366 23381159 23494390 1774780 95631 23380741 23489337 1775198 100684 92338.50 90492.36 4626.50 7811.64
1518730377 23381218 23494400 1774780 95631 23380800 23489347 1775198 100684 92339.80 90492.27 4625.62 7811.73
1518730387 23381280 23494409 1774780 95631 23380863 23489356 1775198 100684 92341.91 90492.81 4624.04 7811.19
