RecId,Field-Location,State,Source,Pedigree,Replicate,Plot,Plot length [field],Row Spacing,Plot,Range,Pass,Date Planted,Date Harvested,Anthesis [days],Silking [days],Stand Early [plants],Stand Late [plants],Stand Count [plants],Pollen DAP,Silk DAP,Plant Height [cm],Ear Height [cm],Root Lodging [plants],Stalk lodging [plants],Plot Discarded,Comments
2686060,AZI2,AZ,WISN14/13960,PHV63,2,18,15,30,,68,142,5/23/2015,,,,,,16,,,109,38,0,0,,
2686055,AZI2,AZ,WISN14/21070,PHG39,2,19,15,30,,68,143,,,,,,,,,,,,,,,
2686043,AZI2,AZ,WISN14/13922,LH123HT,2,20,15,30,,68,144,5/23/2015,,,,,,16,,,119,66,1,0,,
2686033,AZI2,AZ,WISN14/13901,740,2,21,15,30,,68,145,5/23/2015,,,,,,12,,,152,66,0,0,,
2686039,AZI2,AZ,WISN14/20824,B37,2,22,15,30,,68,146,5/23/2015,,,,,,17,,,112,58,0,0,,
2686036,AZI2,AZ,WISN14/13909,A632,2,23,15,30,,68,147,5/23/2015,,,,,,13,,,122,64,2,0,,
2686038,AZI2,AZ,WISN14/20823,B14,2,24,15,30,,68,148,5/23/2015,,,,,,17,,,107,56,0,0,,
2686034,AZI2,AZ,WISN14/13903,2369,2,25,15,30,,68,149,5/23/2015,,,,,,10,,,109,46,0,0,,
2686053,AZI2,AZ,WISN14/13946,PHB47,2,26,15,30,,68,150,5/23/2015,,,,,,17,,,135,74,0,0,,
2686041,AZI2,AZ,WISN14/13919,C103,2,27,15,30,,68,151,5/23/2015,,,,,,13,,,112,64,2,0,,
2686063,AZI2,AZ,WISN10/13409,W117HT,2,28,15,30,,68,152,5/23/2015,,,,,,15,,,152,76,2,0,,
2686061,AZI2,AZ,WISN14/13962,PHW52,2,29,15,30,,68,153,,,,,,,,,,,,,,,
2686057,AZI2,AZ,WISN14/14018,PHG83,2,30,15,30,,68,154,5/23/2015,,,,,,18,,,137,58,0,0,,
2686056,AZI2,AZ,WISN14/13954,PHG47,2,31,15,30,,68,155,5/23/2015,,,,,,16,,,147,76,0,0,,
2686044,AZI2,AZ,WISN14/20902,LH145,2,32,15,30,,68,156,5/23/2015,,,,,,16,,,109,53,0,0,,
2614891,DEI1,DE,WISN14/13958,PHN82,1,1,12,30,,17,1,6/16/2015,10/21/2015,8/13/2015,8/14/2015,19,,13,58,59,140,73,0,0,,
2614867,DEI1,DE,WISN14/13907,A619,1,2,12,30,,17,2,6/16/2015,10/21/2015,8/7/2015,8/11/2015,15,,13,52,56,139,41,0,0,,
2614870,DEI1,DE,WISN14/20823,B14,1,3,12,30,,17,3,6/16/2015,10/21/2015,8/13/2015,8/13/2015,18,,14,58,58,138,69,0,0,,
2614880,DEI1,DE,WISN14/13936,LH74,1,4,12,30,,17,4,6/16/2015,10/21/2015,8/14/2015,8/13/2015,11,,10,59,58,163,81,0,0,,
2614879,DEI1,DE,WISN14/23154,LH198,1,5,12,30,,17,5,6/16/2015,10/21/2015,8/12/2015,8/14/2015,19,,14,57,59,180,82,0,0,,
2614865,DEI1,DE,WISN14/13901,740,1,6,12,30,,17,6,6/16/2015,10/21/2015,8/13/2015,8/14/2015,20,,14,58,59,172,96,0,0,,
2614878,DEI1,DE,WISN14/13931,LH195,1,7,12,30,,17,7,6/16/2015,10/21/2015,8/16/2015,8/18/2015,15,,13,61,63,143,67,0,0,,
2614875,DEI1,DE,WISN14/13922,LH123HT,1,8,12,30,,17,8,6/16/2015,10/21/2015,8/19/2015,8/17/2015,19,,14,64,62,197,94,0,0,,
2614883,DEI1,DE,WISN14/13942,PB80,1,9,12,30,,17,9,6/16/2015,10/21/2015,8/11/2015,8/12/2015,15,,14,56,57,172,84,0,0,,
2614895,DEI1,DE,WISN14/13968,W117HT,1,10,12,30,,17,10,6/16/2015,10/21/2015,8/2/2015,8/6/2015,15,,14,47,51,113,40,0,0,,
2614866,DEI1,DE,WISN14/13903,2369,1,11,12,30,,17,11,6/16/2015,10/21/2015,8/14/2015,8/15/2015,18,,14,59,60,177,74,0,0,,
2614886,DEI1,DE,WISN14/13949,PHG35,1,12,12,30,,17,12,6/16/2015,10/21/2015,8/16/2015,8/16/2015,19,,13,61,61,130,68,0,0,,
2614882,DEI1,DE,WISN14/21006,Mo17,1,13,12,30,,17,13,6/16/2015,10/21/2015,8/11/2015,8/16/2015,20,,14,56,61,179,70,0,0,,
2614890,DEI1,DE,WISN14/21129,PHJ40,1,14,12,30,,17,14,6/16/2015,10/21/2015,8/4/2015,8/4/2015,18,,13,49,49,139,71,0,0,,
2614873,DEI1,DE,WISN14/13919,C103,1,15,12,30,,17,15,6/16/2015,10/21/2015,8/12/2015,8/17/2015,17,,13,57,62,192,80,0,0,,
2614889,DEI1,DE,WISN14/14018,PHG83,1,16,12,30,,17,16,6/16/2015,10/21/2015,8/12/2015,8/13/2015,20,,14,57,58,190,100,0,0,,
2614876,DEI1,DE,WISN14/20902,LH145,1,17,12,30,,17,17,6/16/2015,10/21/2015,8/7/2015,8/8/2015,20,,14,52,53,181,76,0,0,,
2614896,DEI1,DE,WISN14/13970,Wf9,1,18,12,30,,17,18,6/16/2015,10/21/2015,8/14/2015,8/14/2015,19,,13,59,59,187,77,0,0,,
2614869,DEI1,DE,WISN14/20818,A634,1,19,12,30,,17,19,6/16/2015,10/21/2015,8/7/2015,9/9/2015,20,,14,52,85,153,66,0,2,,
2614874,DEI1,DE,WISN14/13921,CM105,1,20,12,30,,17,20,6/16/2015,10/21/2015,8/1/2015,8/4/2015,16,,14,46,49,143,58,0,0,,
2614894,DEI1,DE,WISN14/13965,PHZ51,1,21,12,30,,17,21,6/16/2015,10/21/2015,8/11/2015,8/14/2015,15,,14,56,59,194,67,0,1,,
2614871,DEI1,DE,WISN14/13915,B37,1,22,12,30,,17,22,6/16/2015,10/21/2015,8/15/2015,8/19/2015,17,,14,60,64,186,77,0,0,,
2614868,DEI1,DE,WISN14/13909,A632,1,23,12,30,,17,23,6/16/2015,10/21/2015,8/12/2015,8/12/2015,5,,5,57,57,171,77,0,0,,
2614884,DEI1,DE,WISN14/13944,PH207,1,24,12,30,,17,24,6/16/2015,10/21/2015,8/7/2015,8/8/2015,16,,14,52,53,144,59,0,1,,
2614893,DEI1,DE,WISN14/13962,PHW52,1,25,12,30,,17,25,6/16/2015,10/21/2015,8/14/2015,8/15/2015,16,,12,59,60,152,55,0,0,,
2614888,DEI1,DE,WISN14/13954,PHG47,1,26,12,30,,17,26,6/16/2015,10/21/2015,8/9/2015,8/8/2015,19,,14,54,53,125,38,0,0,,
2614885,DEI1,DE,WISN14/13946,PHB47,1,27,12,30,,17,27,6/16/2015,10/21/2015,8/11/2015,8/10/2015,15,,13,56,55,166,77,0,0,,
2614877,DEI1,DE,WISN14/13929,LH162,1,28,12,30,,17,28,6/16/2015,10/21/2015,8/3/2015,8/4/2015,20,,14,48,49,131,55,0,0,,
2614881,DEI1,DE,WISN14/13937,LH82,1,29,12,30,,17,29,6/16/2015,10/21/2015,8/8/2015,8/7/2015,12,,9,53,52,128,63,0,1,,
2614887,DEI1,DE,WISN14/21070,PHG39,1,30,12,30,,17,30,6/16/2015,10/21/2015,8/17/2015,8/17/2015,18,,14,62,62,190,93,0,0,,
2614872,DEI1,DE,WISN14/20830,B73,1,31,12,30,,17,31,6/16/2015,10/21/2015,8/12/2015,8/13/2015,12,,10,57,58,172,81,0,0,,
2614892,DEI1,DE,WISN14/13960,PHV63,1,32,12,30,,17,32,6/16/2015,10/21/2015,8/14/2015,8/18/2015,19,,14,59,63,143,61,0,0,,
2614905,DEI1,DE,WISN14/13919,C103,2,1,12,30,,17,33,6/16/2015,10/21/2015,8/12/2015,8/16/2015,18,,14,57,61,180,68,0,0,,
2614906,DEI1,DE,WISN14/13921,CM105,2,2,12,30,,17,34,6/16/2015,10/21/2015,8/2/2015,8/5/2015,17,,14,47,50,154,57,0,0,,
2614924,DEI1,DE,WISN14/13960,PHV63,2,3,12,30,,17,35,6/16/2015,10/21/2015,8/15/2015,8/17/2015,19,,13,60,62,162,80,0,0,,
2614917,DEI1,DE,WISN14/13946,PHB47,2,4,12,30,,17,36,6/16/2015,10/21/2015,8/11/2015,8/10/2015,15,,9,56,55,164,65,2,0,,
2614925,DEI1,DE,WISN14/13962,PHW52,2,5,12,30,,17,37,6/16/2015,10/21/2015,8/12/2015,8/14/2015,18,,12,57,59,154,62,0,0,,
2614923,DEI1,DE,WISN14/13958,PHN82,2,6,12,30,,17,38,6/16/2015,10/21/2015,8/11/2015,8/14/2015,19,,14,56,59,156,64,0,0,,
2614920,DEI1,DE,WISN14/13954,PHG47,2,7,12,30,,17,39,6/17/2015,10/21/2015,8/8/2015,8/7/2015,17,,9,52,51,117,40,0,0,,
2614922,DEI1,DE,WISN14/21129,PHJ40,2,8,12,30,,17,40,6/17/2015,10/21/2015,8/3/2015,8/2/2015,12,,7,47,46,141,70,0,0,,
2614915,DEI1,DE,WISN14/13942,PB80,2,9,12,30,,17,41,6/17/2015,10/21/2015,8/14/2015,8/15/2015,14,,12,58,59,181,90,0,0,,
2614904,DEI1,DE,WISN14/20830,B73,2,10,12,30,,17,42,6/17/2015,10/21/2015,8/11/2015,8/12/2015,12,,8,55,56,175,86,0,0,,
2614919,DEI1,DE,WISN14/21070,PHG39,2,11,12,30,,17,43,6/17/2015,10/21/2015,8/18/2015,8/18/2015,16,,11,62,62,188,89,0,0,,
2614909,DEI1,DE,WISN14/13929,LH162,2,12,12,30,,17,44,6/17/2015,10/21/2015,8/4/2015,8/6/2015,17,,14,48,50,138,61,0,0,,
2614901,DEI1,DE,WISN14/20818,A634,2,13,12,30,,17,45,6/17/2015,10/21/2015,8/11/2015,8/13/2015,13,,12,55,57,158,66,0,0,,
2614903,DEI1,DE,WISN14/13915,B37,2,14,12,30,,17,46,6/17/2015,10/21/2015,8/16/2015,8/20/2015,17,,12,60,64,179,92,0,0,,
2614926,DEI1,DE,WISN14/13965,PHZ51,2,15,12,30,,17,47,6/17/2015,10/21/2015,8/15/2015,8/17/2015,14,,12,59,61,183,73,0,0,,
2614908,DEI1,DE,WISN14/20902,LH145,2,16,12,30,,17,48,6/17/2015,10/21/2015,8/7/2015,8/9/2015,15,,13,51,53,169,81,0,0,,
