StationID,Month,Year,temp_mean,temp_median,temp_min,temp_max,Dewpoin_mean,Dewpoin_median,Dewpoin_min,Dewpoin_max,RelativeHumidity_mean,RelativeHumidity_median,RelativeHumidity_min,RelativeHumidity_max,SolarRadiation_mean,SolarRadiation_median,SolarRadiation_min,SolarRadiation_max,Rainfall_mean,Rainfall_median,Rainfall_min,Rainfall_max,WindSpeed_mean,WindSpeed_median,WindSpeed_min,WindSpeed_max,WindGust_mean,WindGust_median,WindGust_min,WindGust_max
8427,9,2014,26.616698292220146,24.7,21.3,37.5,22.41518026565464,22.6,18.2,25.3,81.15378787878788,91.6,35.5,100.0,211.125,12.0,0,1179,0.21022727272727273,0.0,0.0,26.1,0.20280303030303082,0.0,0.0,2.68,1.7386363636363635,1.0,0,15
8428,6,2014,27.537104166666623,27.0,18.28,34.33,22.915576388888905,23.0,16.61,26.17,77.83513888888884,80.3,40.9,100.0,279.4486111111111,87.0,0,1154,0.03633611111111112,0.0,0.0,10.414,1.4668194444444507,1.34,0.0,6.26,3.4604166666666667,4.0,0,10
8649,7,2014,21.36784129119027,21.61,11.44,32.56,14.332878278412856,13.94,3.89,24.28,66.9632392473118,67.3,28.6,99.5,247.7231182795699,80.0,0,1109,0.04779569892473118,0.0,0.0,15.748,0.7345141281874624,0.45,0.0,3.58,2.2278225806451615,2.0,0,8
8655,5,2014,18.35022113022112,17.94,1.0,32.22,9.602546816479407,10.72,-7.0,17.06,60.503435582822135,58.8,7.8,100.0,298.06625766871167,98.0,0,1192,0.0439435582822086,0.0,0.0,7.366,2.2626134969325244,2.24,0.0,9.39,4.423312883435583,4.0,0,16
9087,12,2014,-0.10717514124293759,0.28,-7.28,12.67,-4.7968926553672295,-5.6,-15.2,8.4,72.06694915254236,70.0,36.1,96.5,43.443502824858754,0.0,0,408,0.06979603399433428,0.0,0.0,1.524,2.6226525423728897,2.682,0.0,7.599,5.0,5.0,0,12
8647,9,2014,15.57969444444444,14.83,1.67,29.11,,,,,80.16402777777768,87.3,29.4,100.0,175.4566098945661,10.0,0,977,0.014287499999999998,0.0,0.0,4.064,0.14360416666666634,0.0,0.0,3.58,0.6409722222222223,0.0,0,5
9083,10,2014,11.585144230769234,10.94,-0.67,24.78,5.354394546912596,4.28,-5.44,18.89,70.85400641025637,76.0,12.0,100.0,127.84294871794872,0.0,0,803,0.0,0.0,0.0,0.0,0.5926682692307695,0.45,0.0,4.02,2.051282051282051,2.0,0,8
8650,6,2014,20.610652777777794,20.33,6.83,30.61,14.869305555555576,15.44,0.11,22.28,72.8304166666666,75.9,19.0,100.0,240.46944444444443,67.0,0,1196,0.18979444444444443,0.0,0.0,26.67,2.692854166666649,2.24,0.0,12.07,4.850694444444445,4.0,0,29
9106,11,2014,2.9277569444444476,2.28,-9.78,19.28,-3.3599375000000005,-3.33,-17.11,11.33,66.3488194444443,64.5,14.7,100.0,,,,,0.03805574912891984,0.0,0.0,3.556,1.4793750000000083,0.89,0.0,7.6,3.5993055555555555,3.0,0,13
8659,6,2014,25.174833333333325,24.94,9.22,35.22,19.241006944444443,20.28,-1.11,25.72,73.0333333333333,74.2,14.7,100.0,292.3798611111111,92.0,0,1149,,,,,0.5809027777777794,0.45,0.0,3.13,2.0097222222222224,2.0,0,13
8648,7,2014,19.707943548387075,19.94,7.94,32.56,,,,,74.26586021505378,78.1,26.5,100.0,466.17463848720803,444.0,15,1211,0.01997177419354839,0.0,0.0,7.366,0.6959341397849504,0.45,0.0,3.58,2.2533602150537635,2.0,0,8
8646,6,2014,23.979763888888876,23.33,10.78,35.5,19.199604166666642,19.67,6.11,25.28,77.18791666666667,79.2,32.4,100.0,251.125,78.0,0,1224,0.11923888888888891,0.0,0.0,39.624,,,,,,,,
8647,7,2014,19.958453261600518,19.83,8.94,33.06,,,,,73.16465053763442,77.1,19.0,100.0,283.40524193548384,117.0,0,1257,0.007340053763440859,0.0,0.0,2.286,1.1546549295774735,0.89,0.0,6.26,2.310483870967742,2.0,0,9
9081,10,2014,11.02469791666667,10.83,-0.67,23.67,5.124208333333328,4.28,-5.61,18.61,71.71468749999991,75.4,15.5,100.0,,,,,0.07646458333333336,0.0,0.0,3.302,0.838010416666666,0.45,0.0,4.02,2.740625,2.0,0,10
8653,10,2014,13.612142857142864,13.11,2.56,29.89,8.493511904761903,7.39,-1.39,19.83,74.36249999999998,77.5,32.5,99.5,113.58035714285714,0.0,0,838,0.07030357142857144,0.0,0.0,3.302,0.6109523809523792,0.45,0.0,3.58,1.9672619047619047,2.0,0,8
8658,8,2014,23.851472701149426,22.56,13.89,34.83,19.733800287356324,20.28,12.67,25.17,80.63268678160908,88.7,34.2,100.0,221.6875,33.0,0,1047,,,,,0.2343462643678147,0.0,0.0,2.24,1.2313218390804597,1.0,0,8
8652,9,2014,16.383847222222222,16.44,2.5,31.39,,,,,82.28708333333338,88.7,35.9,100.0,188.55972222222223,12.0,0,906,0.21413611111111114,0.0,0.0,22.606,0.2992777777777773,0.0,0.0,3.58,1.6194444444444445,1.0,0,16
8650,5,2014,18.397408906882596,18.78,1.44,32.44,9.199514170040485,9.44,-5.89,20.67,61.04218328840968,60.4,9.4,100.0,255.99865229110512,97.0,0,1076,0.08968733153638812,0.0,0.0,18.796,2.5126415094339687,2.24,0.0,9.83,4.409703504043127,4.0,0,19
8656,9,2014,17.232251563585812,16.83,0.06,36.28,9.228874218207086,9.67,-0.11,19.5,65.547986111111,66.1,12.9,100.0,,,,,0.010583333333333328,0.0,0.0,1.778,1.6670416666666699,1.34,0.0,8.49,3.390277777777778,3.0,0,11
8650,8,2014,21.69088037634407,21.33,10.11,32.0,17.124146505376345,16.94,7.17,24.39,77.96055107526878,83.5,33.9,100.0,218.67069892473117,53.0,0,971,0.050868279569892524,0.0,0.0,1.27,0.7553024193548419,0.45,0.0,4.47,2.155241935483871,2.0,0,9
9087,11,2014,3.053652777777783,2.5,-10.67,19.94,-3.097222222222221,-3.1,-17.8,11.6,66.93763888888873,64.4,17.4,100.0,59.46736111111111,0.0,0,632,0.03593170731707318,0.0,0.0,3.556,1.9832520833333158,1.788,0.0,8.493,4.307638888888889,4.0,0,13
8649,10,2014,8.265886287625413,8.89,-2.33,17.67,2.863545150501675,1.28,-2.89,14.67,72.5505016722408,74.0,28.9,100.0,115.31605351170569,0.0,0,728,0.061588628762541814,0.0,0.0,2.794,0.4785361552028197,0.0,0.0,2.68,1.9364548494983278,1.0,0,7
9081,7,2014,21.51610363391652,21.56,9.83,33.44,15.69846567967699,15.17,6.28,25.78,72.40564895763275,75.8,33.5,100.0,,,,,0.04526563550773369,0.0,0.0,9.398,0.7183456624075386,0.45,0.0,4.92,2.1997310020174847,2.0,0,12
8644,6,2014,23.952901234567896,23.22,19.5,30.22,16.22425925925925,16.61,11.56,20.22,62.77116564417181,62.0,39.0,87.7,274.9141104294479,113.0,0,1172,0.0,0.0,0.0,0.0,1.4486503067484662,1.34,0.0,4.47,3.4049079754601226,4.0,0,8
8655,8,2014,20.84744588744589,20.22,12.78,29.94,14.196948051948047,13.83,6.17,19.56,69.2397408207343,70.4,25.0,99.1,237.97624190064795,45.0,0,1021,0.1415377969762419,0.0,0.0,20.828,1.2015766738660896,0.89,0.0,4.92,3.16414686825054,3.0,0,10
9085,5,2014,21.305642361111108,21.33,9.0,31.61,12.811163194444442,14.17,0.11,19.61,62.197222222222145,62.4,19.0,99.5,260.7517361111111,76.0,0,1145,0.05423958333333334,0.0,0.0,26.924,1.9553472222222221,1.79,0.0,6.26,3.625,4.0,0,9
8658,5,2014,22.050665770006713,21.5,9.33,35.0,13.606550100874232,14.78,1.44,21.56,62.84670698924737,64.7,19.0,99.5,283.42809139784947,82.0,0,1194,,,,,0.8871774193548444,0.89,0.0,5.36,2.6344086021505375,3.0,0,13
9083,5,2014,19.981753424657537,19.83,2.56,30.33,10.590493150684921,14.67,-10.56,20.5,59.93967168262656,61.2,12.9,100.0,182.81805745554036,37.0,0,1111,0.03544186046511629,0.0,0.0,16.764,2.671915184678531,2.24,0.0,9.39,4.67578659370725,4.0,0,14
9106,12,2014,-0.28976562500000025,-0.22,-7.39,12.28,-5.270989583333334,-6.94,-16.0,8.22,70.7731770833334,68.8,33.5,97.1,,,,,0.065484375,0.0,0.0,1.778,1.6211718749999975,0.89,0.0,6.71,3.8932291666666665,3.0,0,13
8654,9,2014,19.162201388888885,18.83,1.39,36.28,13.05438888888889,13.11,1.39,22.89,71.30701388888902,73.3,27.7,100.0,191.91180555555556,7.0,0,1012,0.1231194444444445,0.0,0.0,24.13,0.938541666666669,0.89,0.0,4.92,2.7618055555555556,3.0,0,10
8649,6,2014,20.39772600834491,20.33,8.56,29.89,14.098678720445081,14.22,3.61,23.0,70.33340277777778,71.9,28.2,100.0,238.9611111111111,82.0,0,1113,0.16492361111111106,0.0,0.0,18.034,1.7226597222222189,1.34,0.0,8.49,3.796527777777778,4.0,0,13
8657,8,2014,22.129529569892462,21.39,6.22,34.28,18.91195564516129,19.28,6.17,26.67,84.08770161290315,91.0,31.6,100.0,188.84677419354838,26.0,0,1040,0.12204973118279563,0.0,0.0,27.432,0.011727150537634403,0.0,0.0,0.89,0.1774193548387097,0.0,0,5
8648,6,2014,20.988041666666692,20.61,10.39,30.44,,,,,70.4793055555555,71.5,13.8,100.0,454.59540229885056,414.0,12,1130,0.19014722222222227,0.0,0.0,28.194,1.5008194444444503,1.34,0.0,6.26,3.5729166666666665,3.0,0,14
8645,5,2014,19.42982097186702,19.89,1.56,34.61,13.10256606990622,15.67,-2.11,23.72,70.14151747655576,72.1,25.0,100.0,266.61281826163304,74.0,0,1388,0.07405626598465477,0.0,0.0,26.67,2.105191815856769,1.79,0.0,8.49,3.9829497016197783,4.0,0,19
9087,10,2014,11.835880376344086,11.72,-0.17,25.89,7.081182795698912,6.3,-2.1,18.9,75.09737903225808,77.6,29.5,100.0,98.30376344086021,0.0,0,782,0.04284750337381914,0.0,0.0,4.572,1.112993951612888,0.894,0.0,5.811,3.09744623655914,3.0,0,10
