TIMESTAMP        home1-RQ         home1-RD         home1-WR         work-RQ          work-RD          work-WR          scratch-RQ       scratch-RD       scratch-WR       spur-RQ          spur-RD          spur-WR          
1519691463        57869            630686056         1109643255       148169            4942673512       10839022378       1652749          678991768213      1036388426508    7082              0                0                 0                
1519691473        57869            630686056         1109643255       148218            4942684222       10839030079       1652749          678991768213      1036388426508    7082              0                0                 0                
1519691483        57869            630686056         1109643255       148267            4942694932       10839037780       1652749          678991768213      1036388426508    7082              0                0                 0                
1519691493        57869            630686056         1109643255       148316            4942705642       10839045481       1652749          678991768213      1036388426508    7082              0                0                 0                
1519691504        57869            630686056         1109643255       148365            4942716352       10839053182       1652749          678991768213      1036388426508    7082              0                0                 0                
1519691514        57869            630686056         1109643255       148414            4942727062       10839060883       1652749          678991768213      1036388426508    7082              0                0                 0                
1519691524        57871            630686056         1109643255       148463            4942737772       10839068584       1652753          678991768213      1036388426508    7084              0                0                 0                
1519691534        57871            630686056         1109643255       148512            4942748482       10839076285       1652753          678991768213      1036388426508    7084              0                0                 0                
1519691544        57871            630686056         1109643255       148561            4942759192       10839084005       1652753          678991768213      1036388426508    7084              0                0                 0                
1519691554        57871            630686056         1109643255       148610            4942769902       10839091706       1652753          678991768213      1036388426508    7084              0                0                 0                
1519691564        57871            630686056         1109643255       148659            4942780612       10839099407       1652753          678991768213      1036388426508    7084              0                0                 0                
1519691575        57871            630686056         1109643255       148708            4942791322       10839107108       1652753          678991768213      1036388426508    7084              0                0                 0                
1519691585        57871            630686056         1109643255       148756            4942802032       10839114809       1652753          678991768213      1036388426508    7084              0                0                 0                
1519691595        57873            630686056         1109643255       148804            4942812742       10839122510       1652757          678991768213      1036388426508    7086              0                0                 0                
1519691605        57873            630686056         1109643255       148852            4942823452       10839130211       1652757          678991768213      1036388426508    7086              0                0                 0                
1519691615        57873            630686056         1109643255       148900            4942834162       10839137912       1652757          678991768213      1036388426508    7086              0                0                 0                
1519691625        57873            630686056         1109643255       148948            4942844872       10839145613       1652757          678991768213      1036388426508    7086              0                0                 0                
1519691635        57873            630686056         1109643255       148996            4942855582       10839153314       1652757          678991768213      1036388426508    7086              0                0                 0                
1519691646        57873            630686056         1109643255       149044            4942866292       10839161015       1652757          678991768213      1036388426508    7086              0                0                 0                
1519691656        57873            630686056         1109643255       149092            4942877002       10839168716       1652757          678991768213      1036388426508    7086              0                0                 0                
1519691666        57873            630686056         1109643255       149140            4942887712       10839176417       1652757          678991768213      1036388426508    7086              0                0                 0                
1519691677        57875            630686056         1109643255       149188            4942898422       10839184118       1652761          678991768213      1036388426508    7088              0                0                 0                
1519691687        57875            630686056         1109643255       149236            4942909132       10839191819       1652761          678991768213      1036388426508    7088              0                0                 0                
1519691697        57875            630686056         1109643255       149284            4942919842       10839199520       1652761          678991768213      1036388426508    7088              0                0                 0                
1519691707        57875            630686056         1109643255       149332            4942930552       10839207221       1652761          678991768213      1036388426508    7088              0                0                 0                
1519691718        57875            630686056         1109643255       149380            4942941262       10839214922       1652761          678991768213      1036388426508    7088              0                0                 0                
1519691728        57875            630686056         1109643255       149428            4942951972       10839222623       1652761          678991768213      1036388426508    7088              0                0                 0                
1519691739        57875            630686056         1109643255       149476            4942962682       10839230324       1652761          678991768213      1036388426508    7088              0                0                 0                
1519691749        57877            630686056         1109643255       149524            4942973392       10839238025       1652765          678991768213      1036388426508    7090              0                0                 0                
1519691759        57877            630686056         1109643255       149572            4942984102       10839245726       1652765          678991768213      1036388426508    7090              0                0                 0                
1519691769        57877            630686056         1109643255       149620            4942994812       10839253427       1652765          678991768213      1036388426508    7090              0                0                 0                
1519691780        57877            630686056         1109643255       149668            4943005522       10839261128       1652765          678991768213      1036388426508    7090              0                0                 0                
1519691790        57877            630686056         1109643255       149716            4943016232       10839268829       1652765          678991768213      1036388426508    7090              0                0                 0                
1519691800        57877            630686056         1109643255       149764            4943026942       10839276530       1652765          678991768213      1036388426508    7090              0                0                 0                
1519691810        57877            630686056         1109643255       149812            4943037652       10839284231       1652765          678991768213      1036388426508    7090              0                0                 0                
1519691821        57879            630686056         1109643255       149860            4943048362       10839291932       1652769          678991768213      1036388426508    7092              0                0                 0                
1519691831        57879            630686056         1109643255       149908            4943059072       10839299633       1652769          678991768213      1036388426508    7092              0                0                 0                
1519691841        57879            630686056         1109643255       149957            4943069782       10839307334       1652769          678991768213      1036388426508    7092              0                0                 0                
1519691851        57879            630686056         1109643255       150006            4943080492       10839315035       1652769          678991768213      1036388426508    7092              0                0                 0                
1519691861        57879            630686056         1109643255       150055            4943091202       10839322736       1652769          678991768213      1036388426508    7092              0                0                 0                
1519691872        57879            630686056         1109643255       150104            4943101912       10839330437       1652769          678991768213      1036388426508    7092              0                0                 0                
1519691882        57879            630686056         1109643255       150153            4943112622       10839338138       1652769          678991768213      1036388426508    7092              0                0                 0                
1519691892        57879            630686056         1109643255       150202            4943123332       10839345839       1652769          678991768213      1036388426508    7092              0                0                 0                
1519691902        57881            630686056         1109643255       150251            4943134042       10839353540       1652773          678991768213      1036388426508    7094              0                0                 0                
1519691912        57881            630686056         1109643255       150300            4943144752       10839361241       1652773          678991768213      1036388426508    7094              0                0                 0                
1519691922        57881            630686056         1109643255       150349            4943155462       10839368942       1652773          678991768213      1036388426508    7094              0                0                 0                
1519691932        57881            630686056         1109643255       150398            4943166172       10839376643       1652773          678991768213      1036388426508    7094              0                0                 0                
1519691943        57881            630686056         1109643255       150447            4943176882       10839384344       1652773          678991768213      1036388426508    7094              0                0                 0                
1519691953        57881            630686056         1109643255       150496            4943187592       10839392045       1652773          678991768213      1036388426508    7094              0                0                 0                
1519691963        57881            630686056         1109643255       150545            4943198302       10839399746       1652773          678991768213      1036388426508    7094              0                0                 0                
1519691973        57883            630686056         1109643255       150594            4943209012       10839407447       1652777          678991768213      1036388426508    7096              0                0                 0                
1519691983        57883            630686056         1109643255       150643            4943219722       10839415148       1652777          678991768213      1036388426508    7096              0                0                 0                
1519691993        57883            630686056         1109643255       150692            4943230432       10839422849       1652777          678991768213      1036388426508    7096              0                0                 0                
1519692004        57883            630686056         1109643255       150741            4943241142       10839430550       1652777          678991768213      1036388426508    7096              0                0                 0                
1519692014        57883            630686056         1109643255       150790            4943251852       10839438251       1652777          678991768213      1036388426508    7096              0                0                 0                
1519692024        57883            630686056         1109643255       150839            4943262562       10839445952       1652777          678991768213      1036388426508    7096              0                0                 0                
1519692034        57883            630686056         1109643255       150888            4943273272       10839453653       1652777          678991768213      1036388426508    7096              0                0                 0                
1519692044        57885            630686056         1109643255       150937            4943283982       10839461354       1652781          678991768213      1036388426508    7098              0                0                 0                
1519692054        57885            630686056         1109643255       150986            4943294692       10839469055       1652781          678991768213      1036388426508    7098              0                0                 0                
1519692065        57885            630686056         1109643255       151035            4943305402       10839476756       1652781          678991768213      1036388426508    7098              0                0                 0                
1519692075        57885            630686056         1109643255       151083            4943316112       10839484457       1652781          678991768213      1036388426508    7098              0                0                 0                
1519692085        57885            630686056         1109643255       151131            4943326822       10839492158       1652781          678991768213      1036388426508    7098              0                0                 0                
1519692095        57885            630686056         1109643255       151179            4943337532       10839499859       1652781          678991768213      1036388426508    7098              0                0                 0                
1519692105        57885            630686056         1109643255       151227            4943348242       10839507560       1652781          678991768213      1036388426508    7098              0                0                 0                
1519692115        57885            630686056         1109643255       151275            4943358952       10839515261       1652781          678991768213      1036388426508    7098              0                0                 0                
1519692125        57887            630686056         1109643255       151323            4943369662       10839522962       1652785          678991768213      1036388426508    7100              0                0                 0                
1519692136        57887            630686056         1109643255       151371            4943380372       10839530663       1652785          678991768213      1036388426508    7100              0                0                 0                
1519692146        57887            630686056         1109643255       151419            4943391082       10839538364       1652785          678991768213      1036388426508    7100              0                0                 0                
1519692156        57887            630686056         1109643255       151467            4943401792       10839546065       1652785          678991768213      1036388426508    7100              0                0                 0                
1519692166        57887            630686056         1109643255       151515            4943412502       10839553766       1652785          678991768213      1036388426508    7100              0                0                 0                
1519692176        57887            630686056         1109643255       151563            4943423212       10839561467       1652785          678991768213      1036388426508    7100              0                0                 0                
1519692186        57887            630686056         1109643255       151611            4943433922       10839569168       1652785          678991768213      1036388426508    7100              0                0                 0                
1519692197        57889            630686056         1109643255       151659            4943444632       10839576869       1652789          678991768213      1036388426508    7102              0                0                 0                
1519692207        57889            630686056         1109643255       151707            4943455342       10839584570       1652789          678991768213      1036388426508    7102              0                0                 0                
1519692217        57889            630686056         1109643255       151755            4943466052       10839592271       1652789          678991768213      1036388426508    7102              0                0                 0                
1519692227        57889            630686056         1109643255       151803            4943476762       10839599972       1652789          678991768213      1036388426508    7102              0                0                 0                
1519692237        57889            630686056         1109643255       151851            4943487472       10839607673       1652789          678991768213      1036388426508    7102              0                0                 0                
1519692247        57889            630686056         1109643255       151899            4943498182       10839615374       1652789          678991768213      1036388426508    7102              0                0                 0                
1519692257        57889            630686056         1109643255       151947            4943508892       10839623075       1652789          678991768213      1036388426508    7102              0                0                 0                
1519692268        57889            630686056         1109643255       151995            4943519602       10839630795       1652789          678991768213      1036388426508    7102              0                0                 0                
1519692278        57891            630686056         1109643255       152043            4943530312       10839638496       1652793          678991768213      1036388426508    7104              0                0                 0                
1519692288        57891            630686056         1109643255       152091            4943541022       10839646197       1652793          678991768213      1036388426508    7104              0                0                 0                
1519692298        57891            630686056         1109643255       152139            4943551732       10839653898       1652793          678991768213      1036388426508    7104              0                0                 0                
1519692308        57891            630686056         1109643255       152187            4943562442       10839661599       1652793          678991768213      1036388426508    7104              0                0                 0                
1519692318        57891            630686056         1109643255       152235            4943573152       10839669300       1652793          678991768213      1036388426508    7104              0                0                 0                
1519692328        57891            630686056         1109643255       152283            4943583862       10839677001       1652793          678991768213      1036388426508    7104              0                0                 0                
1519692339        57891            630686056         1109643255       152331            4943594572       10839684702       1652793          678991768213      1036388426508    7104              0                0                 0                
1519692349        57893            630686056         1109643255       152379            4943605282       10839692403       1652797          678991768213      1036388426508    7106              0                0                 0                
1519692359        57893            630686056         1109643255       152427            4943615992       10839700104       1652797          678991768213      1036388426508    7106              0                0                 0                
1519692369        57893            630686056         1109643255       152475            4943626702       10839707805       1652797          678991768213      1036388426508    7106              0                0                 0                
1519692379        57893            630686056         1109643255       152523            4943637412       10839715506       1652797          678991768213      1036388426508    7106              0                0                 0                
1519692389        57893            630686056         1109643255       152571            4943648122       10839723207       1652797          678991768213      1036388426508    7106              0                0                 0                
1519692400        57893            630686056         1109643255       152619            4943658832       10839730908       1652797          678991768213      1036388426508    7106              0                0                 0                
1519692410        57893            630686056         1109643255       152667            4943669542       10839738609       1652797          678991768213      1036388426508    7106              0                0                 0                
1519692420        57895            630686056         1109643255       152715            4943680252       10839746310       1652801          678991768213      1036388426508    7108              0                0                 0                
1519692430        57895            630686056         1109643255       152763            4943690962       10839754011       1652801          678991768213      1036388426508    7108              0                0                 0                
1519692440        57895            630686056         1109643255       152811            4943701672       10839761712       1652801          678991768213      1036388426508    7108              0                0                 0                
1519692450        57895            630686056         1109643255       152859            4943712382       10839769413       1652801          678991768213      1036388426508    7108              0                0                 0                
1519692460        57895            630686056         1109643255       152907            4943723092       10839777114       1652801          678991768213      1036388426508    7108              0                0                 0                
1519692471        57895            630686056         1109643255       152955            4943733802       10839784815       1652801          678991768213      1036388426508    7108              0                0                 0                
1519692481        57895            630686056         1109643255       153003            4943744512       10839792516       1652801          678991768213      1036388426508    7108              0                0                 0                
1519692491        57895            630686056         1109643255       153052            4943755222       10839800217       1652801          678991768213      1036388426508    7108              0                0                 0                
1519692501        57897            630686056         1109643255       153101            4943765932       10839807918       1652805          678991768213      1036388426508    7110              0                0                 0                
1519692511        57897            630686056         1109643255       153150            4943776642       10839815619       1652805          678991768213      1036388426508    7110              0                0                 0                
1519692521        57897            630686056         1109643255       153198            4943787352       10839823320       1652805          678991768213      1036388426508    7110              0                0                 0                
1519692531        57897            630686056         1109643255       153246            4943798062       10839831021       1652805          678991768213      1036388426508    7110              0                0                 0                
1519692542        57897            630686056         1109643255       153294            4943808772       10839838722       1652805          678991768213      1036388426508    7110              0                0                 0                
1519692552        57897            630686056         1109643255       153342            4943819482       10839846423       1652805          678991768213      1036388426508    7110              0                0                 0                
1519692562        57897            630686056         1109643255       153390            4943830192       10839854124       1652805          678991768213      1036388426508    7110              0                0                 0                
1519692572        57899            630686056         1109643255       153438            4943840902       10839861825       1652809          678991768213      1036388426508    7112              0                0                 0                
1519692582        57899            630686056         1109643255       153486            4943851612       10839869526       1652809          678991768213      1036388426508    7112              0                0                 0                
1519692593        57899            630686056         1109643255       153534            4943862322       10839877227       1652809          678991768213      1036388426508    7112              0                0                 0                
1519692603        57899            630686056         1109643255       153582            4943873032       10839884928       1652809          678991768213      1036388426508    7112              0                0                 0                
1519692613        57899            630686056         1109643255       153630            4943883742       10839892629       1652809          678991768213      1036388426508    7112              0                0                 0                
1519692623        57899            630686056         1109643255       153678            4943894452       10839900330       1652809          678991768213      1036388426508    7112              0                0                 0                
