TIMESTAMP        spur-RQ          spur-RD          spur-WR          
1519685851 6932 0 0
1519685861 6932 0 0
1519685872 6932 0 0
1519685882 6932 0 0
1519685892 6934 0 0
1519685902 6934 0 0
1519685912 6934 0 0
1519685923 6934 0 0
1519685933 6934 0 0
1519685943 6934 0 0
1519685953 6934 0 0
1519685963 6934 0 0
1519685973 6936 0 0
1519685983 6936 0 0
1519685994 6936 0 0
1519686004 6936 0 0
1519686014 6936 0 0
1519686024 6936 0 0
1519686034 6936 0 0
1519686044 6938 0 0
1519686055 6938 0 0
1519686065 6938 0 0
1519686075 6938 0 0
1519686085 6938 0 0
1519686095 6938 0 0
1519686105 6938 0 0
1519686115 6938 0 0
1519686126 6940 0 0
1519686136 6940 0 0
1519686146 6940 0 0
1519686156 6940 0 0
1519686166 6940 0 0
1519686176 6940 0 0
1519686186 6940 0 0
1519686197 6942 0 0
1519686207 6942 0 0
1519686217 6942 0 0
1519686227 6942 0 0
1519686237 6942 0 0
1519686247 6942 0 0
1519686257 6942 0 0
1519686268 6944 0 0
1519686278 6944 0 0
1519686288 6944 0 0
1519686298 6944 0 0
1519686308 6944 0 0
1519686318 6944 0 0
1519686329 6944 0 0
1519686339 6944 0 0
1519686349 6946 0 0
1519686359 6946 0 0
1519686369 6946 0 0
1519686380 6946 0 0
1519686390 6946 0 0
1519686400 6946 0 0
1519686411 6946 0 0
1519686421 6948 0 0
1519686431 6948 0 0
1519686441 6948 0 0
1519686451 6948 0 0
1519686461 6948 0 0
1519686471 6948 0 0
1519686482 6948 0 0
1519686492 6948 0 0
1519686502 6950 0 0
1519686512 6950 0 0
1519686522 6950 0 0
1519686532 6951 0 0
1519686543 6951 0 0
1519686553 6951 0 0
1519686563 6951 0 0
1519686573 6952 0 0
1519686583 6952 0 0
1519686593 6952 0 0
1519686603 6952 0 0
1519686614 6952 0 0
1519686624 6952 0 0
1519686634 6952 0 0
1519686645 6954 0 0
1519686655 6954 0 0
1519686665 6954 0 0
1519686676 6954 0 0
1519686686 6954 0 0
1519686696 6954 0 0
1519686706 6954 0 0
1519686716 6954 0 0
1519686726 6956 0 0
1519686736 6956 0 0
1519686747 6956 0 0
1519686757 6956 0 0
1519686767 6956 0 0
1519686777 6956 0 0
1519686787 6956 0 0
1519686797 6958 0 0
1519686807 6958 0 0
1519686818 6958 0 0
1519686828 6958 0 0
1519686838 6958 0 0
1519686848 6958 0 0
1519686858 6958 0 0
1519686868 6960 0 0
1519686878 6960 0 0
1519686889 6960 0 0
1519686899 6960 0 0
1519686909 6960 0 0
1519686919 6960 0 0
1519686929 6960 0 0
1519686939 6960 0 0
1519686949 6962 0 0
1519686960 6962 0 0
1519686970 6962 0 0
1519686980 6962 0 0
1519686990 6962 0 0
1519687000 6962 0 0
1519687010 6962 0 0
1519687021 6964 0 0
1519687031 6964 0 0
1519687041 6964 0 0
1519687051 6964 0 0
1519687061 6964 0 0
1519687071 6964 0 0
1519687081 6964 0 0
1519687092 6964 0 0
1519687102 6966 0 0
1519687112 6966 0 0
1519687122 6966 0 0
1519687132 6966 0 0
1519687142 6966 0 0
1519687153 6966 0 0
1519687163 6966 0 0
1519687173 6968 0 0
1519687184 6968 0 0
1519687194 6968 0 0
1519687204 6968 0 0
1519687214 6968 0 0
1519687224 6968 0 0
1519687234 6968 0 0
1519687245 6970 0 0
1519687255 6970 0 0
1519687265 6970 0 0
1519687275 6970 0 0
1519687285 6970 0 0
1519687295 6970 0 0
1519687305 6970 0 0
1519687316 6970 0 0
1519687326 6972 0 0
1519687336 6972 0 0
1519687346 6972 0 0
1519687356 6972 0 0
1519687366 6972 0 0
1519687376 6972 0 0
1519687387 6972 0 0
1519687397 6974 0 0
1519687407 6974 0 0
1519687417 6974 0 0
1519687427 6974 0 0
1519687437 6974 0 0
1519687448 6974 0 0
1519687458 6974 0 0
1519687468 6976 0 0
1519687478 6976 0 0
1519687488 6976 0 0
1519687498 6976 0 0
1519687508 6976 0 0
1519687519 6976 0 0
1519687529 6976 0 0
1519687539 6976 0 0
1519687549 6978 0 0
1519687559 6978 0 0
1519687569 6978 0 0
1519687579 6978 0 0
1519687590 6978 0 0
1519687600 6978 0 0
1519687610 6978 0 0
1519687620 6980 0 0
1519687630 6980 0 0
1519687640 6980 0 0
1519687650 6980 0 0
1519687660 6980 0 0
1519687671 6980 0 0
1519687681 6980 0 0
1519687691 6980 0 0
1519687701 6982 0 0
1519687712 6982 0 0
1519687722 6982 0 0
1519687732 6982 0 0
1519687743 6982 0 0
1519687753 6982 0 0
1519687763 6982 0 0
1519687773 6984 0 0
1519687783 6984 0 0
1519687794 6984 0 0
1519687804 6984 0 0
1519687814 6984 0 0
1519687824 6984 0 0
1519687835 6984 0 0
1519687845 6986 0 0
1519687855 6986 0 0
1519687865 6986 0 0
1519687876 6986 0 0
1519687886 6986 0 0
1519687896 6986 0 0
1519687906 6986 0 0
1519687916 6986 0 0
1519687927 6988 0 0
1519687937 6988 0 0
1519687947 6988 0 0
1519687957 6988 0 0
1519687967 6988 0 0
1519687978 6988 0 0
1519687988 6988 0 0
1519687998 6990 0 0
1519688008 6990 0 0
1519688018 6990 0 0
1519688028 6990 0 0
1519688038 6990 0 0
1519688049 6990 0 0
1519688059 6990 0 0
1519688069 6992 0 0
1519688079 6992 0 0
1519688090 6992 0 0
1519688100 6992 0 0
1519688110 6992 0 0
1519688120 6992 0 0
1519688130 6992 0 0
1519688140 6992 0 0
1519688151 6994 0 0
1519688161 6994 0 0
1519688171 6994 0 0
1519688181 6994 0 0
1519688191 6994 0 0
1519688201 6994 0 0
1519688212 6994 0 0
1519688222 6996 0 0
1519688232 6996 0 0
1519688242 6996 0 0
1519688252 6996 0 0
1519688262 6996 0 0
1519688272 6996 0 0
1519688283 6996 0 0
1519688293 6998 0 0
1519688304 6998 0 0
1519688314 6998 0 0
1519688324 6998 0 0
1519688334 6998 0 0
1519688344 6998 0 0
1519688355 6998 0 0
1519688365 6998 0 0
1519688375 7000 0 0
1519688385 7000 0 0
1519688395 7000 0 0
1519688405 7000 0 0
1519688416 7000 0 0
1519688426 7000 0 0
1519688436 7000 0 0
1519688446 7002 0 0
1519688456 7002 0 0
1519688466 7002 0 0
1519688477 7002 0 0
1519688487 7002 0 0
1519688497 7002 0 0
1519688507 7002 0 0
1519688518 7002 0 0
1519688528 7004 0 0
1519688539 7004 0 0
1519688549 7004 0 0
1519688560 7004 0 0
1519688570 7004 0 0
1519688580 7004 0 0
1519688590 7004 0 0
1519688601 7006 0 0
1519688611 7006 0 0
1519688621 7006 0 0
1519688631 7006 0 0
1519688641 7006 0 0
1519688652 7006 0 0
1519688662 7006 0 0
1519688672 7008 0 0
1519688684 7008 0 0
1519688694 7008 0 0
1519688704 7008 0 0
1519688714 7008 0 0
1519688724 7008 0 0
1519688735 7008 0 0
1519688745 7010 0 0
1519688756 7010 0 0
1519688766 7010 0 0
1519688776 7010 0 0
1519688786 7010 0 0
1519688796 7010 0 0
1519688806 7010 0 0
1519688817 7010 0 0
1519688827 7012 0 0
1519688837 7012 0 0
1519688847 7012 0 0
1519688857 7012 0 0
1519688868 7012 0 0
1519688878 7012 0 0
1519688888 7012 0 0
1519688898 7014 0 0
1519688909 7014 0 0
1519688919 7014 0 0
