TIMESTAMP        home1-RQ         home1-RD         home1-WR         work-RQ          work-RD          work-WR          scratch-RQ       scratch-RD       scratch-WR       
1523895413        199260           352021882         550807           325040            214394114395     6405005923        5875218          764730022626      1911382879103    
1523895423        199260           352021882         550807           325090            214394125101     6405013565        5875218          764730022626      1911382879103    
1523895433        199260           352021882         550807           325138            214394135807     6405021197        5875218          764730022626      1911382879103    
1523895444        199260           352021882         550807           325186            214394146513     6405028829        5875218          764730022626      1911382879103    
1523895454        199260           352021882         550807           325234            214394157219     6405036460        5875218          764730022626      1911382879103    
1523895464        199260           352021882         550807           325282            214394167925     6405044091        5875218          764730022626      1911382879103    
1523895474        199262           352021882         550807           325330            214394178631     6405051723        5875222          764730022626      1911382879103    
1523895484        199262           352021882         550807           325378            214394189337     6405059354        5875222          764730022626      1911382879103    
1523895494        199262           352021882         550807           325426            214394200043     6405066986        5875222          764730022626      1911382879103    
1523895505        199262           352021882         550807           325474            214394210749     6405074618        5875222          764730022626      1911382879103    
1523895515        199262           352021882         550807           325522            214394221455     6405082250        5875222          764730022626      1911382879103    
1523895525        199262           352021882         550807           325570            214394232161     6405089882        5875222          764730022626      1911382879103    
1523895535        199262           352021882         550807           325618            214394242867     6405097514        5875222          764730022626      1911382879103    
1523895545        199264           352021882         550807           325666            214394253573     6405105146        5875226          764730022626      1911382879103    
1523895556        199264           352021882         550807           325716            214394264279     6405112778        5875226          764730022626      1911382879103    
1523895566        199264           352021882         550807           325764            214394274985     6405120410        5875226          764730022626      1911382879103    
1523895576        199264           352021882         550807           325814            214394285691     6405128042        5875226          764730022626      1911382879103    
1523895586        199264           352021882         550807           325864            214394296397     6405135673        5875226          764730022626      1911382879103    
1523895596        199264           352021882         550807           325912            214394307103     6405143304        5875226          764730022626      1911382879103    
1523895606        199264           352021882         550807           325960            214394317809     6405150936        5875226          764730022626      1911382879103    
1523895768        199270           352021882         550807           326011            214394328515     6405158579        5875238          764730022626      1911382879103    
1523895779        199270           352021882         550807           326060            214394339221     6405166210        5875238          764730022626      1911382879103    
1523895789        199270           352021882         550807           326110            214394349927     6405173842        5875238          764730022626      1911382879103    
1523895799        199270           352021882         550807           326158            214394360633     6405181474        5875238          764730022626      1911382879103    
1523895809        199270           352021882         550807           326206            214394371339     6405189106        5875238          764730022626      1911382879103    
1523895819        199270           352021882         550807           326254            214394382045     6405196738        5875238          764730022626      1911382879103    
1523895830        199270           352021882         550807           326304            214394392751     6405204369        5875238          764730022626      1911382879103    
1523895840        199270           352021882         550807           326354            214394403457     6405212000        5875238          764730022626      1911382879103    
1523895850        199272           352021882         550807           326402            214394414163     6405219632        5875242          764730022626      1911382879103    
1523895860        199272           352021882         550807           326452            214394424869     6405227263        5875242          764730022626      1911382879103    
1523895870        199272           352021882         550807           326500            214394435575     6405234895        5875242          764730022626      1911382879103    
1523895880        199272           352021882         550807           326548            214394446281     6405242527        5875242          764730022626      1911382879103    
1523895891        199272           352021882         550807           326598            214394456987     6405250159        5875242          764730022626      1911382879103    
1523895901        199272           352021882         550807           326648            214394467693     6405257791        5875242          764730022626      1911382879103    
1523895911        199272           352021882         550807           326698            214394478399     6405265423        5875242          764730022626      1911382879103    
1523895921        199274           352021882         550807           326748            214394489105     6405273054        5875246          764730022626      1911382879103    
1523895931        199274           352021882         550807           326798            214394499811     6405280686        5875246          764730022626      1911382879103    
1523895941        199274           352021882         550807           326846            214394510517     6405288317        5875246          764730022626      1911382879103    
1523895952        199274           352021882         550807           326896            214394521223     6405295949        5875246          764730022626      1911382879103    
1523895963        199274           352021882         550807           326944            214394531929     6405303581        5875246          764730022626      1911382879103    
1523895973        199274           352021882         550807           326994            214394542635     6405311212        5875246          764730022626      1911382879103    
1523895983        199274           352021882         550807           327042            214394553341     6405318844        5875246          764730022626      1911382879103    
1523895994        199276           352021882         550807           327090            214394564047     6405326476        5875250          764730022626      1911382879103    
1523896004        199276           352021882         550807           327140            214394574753     6405334108        5875250          764730022626      1911382879103    
1523896014        199276           352021882         550807           327190            214394585459     6405341740        5875250          764730022626      1911382879103    
1523896024        199276           352021882         550807           327238            214394596165     6405349372        5875250          764730022626      1911382879103    
1523896035        199276           352021882         550807           327286            214394606871     6405357003        5875250          764730022626      1911382879103    
1523896045        199276           352021882         550807           327336            214394617577     6405364634        5875250          764730022626      1911382879103    
1523896055        199276           352021882         550807           327384            214394628285     6405372266        5875250          764730022626      1911382879103    
1523896065        199276           352021882         550807           327434            214394638993     6405379899        5875250          764730022626      1911382879103    
1523896075        199278           352021882         550807           327484            214394649701     6405387532        5875254          764730022626      1911382879103    
1523896085        199278           352021882         550807           327532            214394660409     6405395165        5875254          764730022626      1911382879103    
1523896096        199278           352021882         550807           327584            214394671117     6405402798        5875254          764730022626      1911382879103    
1523896106        199278           352021882         550807           327632            214394681825     6405410431        5875254          764730022626      1911382879103    
1523896116        199278           352021882         550807           327682            214394692533     6405418064        5875254          764730022626      1911382879103    
1523896126        199278           352021882         550807           327730            214394703241     6405425697        5875254          764730022626      1911382879103    
1523896136        199278           352021882         550807           327780            214394713949     6405433330        5875254          764730022626      1911382879103    
1523896146        199280           352021882         550807           327828            214394724657     6405440962        5875258          764730022626      1911382879103    
1523896157        199280           352021882         550807           327876            214394735365     6405448595        5875258          764730022626      1911382879103    
1523896167        199280           352021882         550807           327926            214394746073     6405456228        5875258          764730022626      1911382879103    
1523896177        199280           352021882         550807           327974            214394756781     6405463860        5875258          764730022626      1911382879103    
1523896187        199280           352021882         550807           328022            214394767489     6405471493        5875258          764730022626      1911382879103    
1523896197        199280           352021882         550807           328072            214394778197     6405479126        5875258          764730022626      1911382879103    
1523896207        199280           352021882         550807           328120            214394788905     6405486770        5875258          764730022626      1911382879103    
1523896218        199282           352021882         550807           328170            214394799613     6405494403        5875262          764730022626      1911382879103    
1523896228        199282           352021882         550807           328218            214394810321     6405502035        5875262          764730022626      1911382879103    
1523896238        199282           352021882         550807           328266            214394821029     6405509667        5875262          764730022626      1911382879103    
1523896248        199282           352021882         550807           328314            214394831737     6405517300        5875262          764730022626      1911382879103    
1523896258        199282           352021882         550807           328364            214394842445     6405524933        5875262          764730022626      1911382879103    
1523896268        199282           352021882         550807           328412            214394853153     6405532566        5875262          764730022626      1911382879103    
1523896279        199282           352021882         550807           328460            214394863861     6405540198        5875262          764730022626      1911382879103    
1523896289        199282           352021882         550807           328508            214394874569     6405547831        5875264          764730022626      1911382879103    
1523896299        199284           352021882         550807           328556            214394885277     6405555464        5875266          764730022626      1911382879103    
1523896309        199284           352021882         550807           328604            214394895985     6405563097        5875266          764730022626      1911382879103    
1523896319        199284           352021882         550807           328652            214394906693     6405570730        5875266          764730022626      1911382879103    
1523896330        199284           352021882         550807           328700            214394917401     6405578363        5875266          764730022626      1911382879103    
1523896340        199284           352021882         550807           328750            214394928109     6405585998        5875266          764730022626      1911382879103    
1523896350        199284           352021882         550807           328798            214394938817     6405593630        5875266          764730022626      1911382879103    
1523896360        199284           352021882         550807           328846            214394949525     6405601263        5875266          764730022626      1911382879103    
1523896370        199286           352021882         550807           328894            214394960233     6405608895        5875270          764730022626      1911382879103    
1523896380        199286           352021882         550807           328942            214394970941     6405616528        5875270          764730022626      1911382879103    
1523896391        199286           352021882         550807           328992            214394981649     6405624161        5875270          764730022626      1911382879103    
1523896401        199286           352021882         550807           329040            214394992357     6405631793        5875270          764730022626      1911382879103    
1523896411        199286           352021882         550807           329088            214395003065     6405639426        5875270          764730022626      1911382879103    
1523896421        199286           352021882         550807           329136            214395013773     6405647059        5875270          764730022626      1911382879103    
1523896431        199286           352021882         550807           329184            214395024481     6405654692        5875270          764730022626      1911382879103    
1523896441        199286           352021882         550807           329232            214395035189     6405662325        5875270          764730022626      1911382879103    
1523896452        199288           352021882         550807           329280            214395045897     6405669958        5875274          764730022626      1911382879103    
1523896462        199288           352021882         550807           329328            214395056605     6405677591        5875274          764730022626      1911382879103    
1523896472        199288           352021882         550807           329374            214395067313     6405685224        5875274          764730022626      1911382879103    
1523896482        199288           352021882         550807           329422            214395078021     6405692857        5875274          764730022626      1911382879103    
1523896492        199288           352021882         550807           329470            214395088729     6405700490        5875274          764730022626      1911382879103    
1523896503        199288           352021882         550807           329516            214395099437     6405708123        5875274          764730022626      1911382879103    
1523896513        199288           352021882         550807           329566            214395110145     6405715756        5875274          764730022626      1911382879103    
1523896523        199290           352021882         550807           329614            214395120853     6405723389        5875278          764730022626      1911382879103    
1523896533        199290           352021882         550807           329662            214395131561     6405731022        5875278          764730022626      1911382879103    
1523896543        199290           352021882         550807           329712            214395142269     6405738655        5875278          764730022626      1911382879103    
1523896553        199290           352021882         550807           329760            214395152977     6405746288        5875278          764730022626      1911382879103    
1523896564        199290           352021882         550807           329810            214395163685     6405753921        5875278          764730022626      1911382879103    
1523896574        199290           352021882         550807           329860            214395174393     6405761555        5875278          764730022626      1911382879103    
1523896584        199290           352021882         550807           329908            214395185101     6405769188        5875278          764730022626      1911382879103    
1523896594        199292           352021882         550807           329956            214395195809     6405776821        5875282          764730022626      1911382879103    
1523896604        199292           352021882         550807           330004            214395206517     6405784454        5875282          764730022626      1911382879103    
1523896614        199292           352021882         550807           330052            214395217225     6405792086        5875283          764730022626      1911382879103    
1523896625        199292           352021882         550807           330102            214395227933     6405799719        5875283          764730022626      1911382879103    
1523896635        199292           352021882         550807           330156            214395238641     6405807352        5875283          764730022626      1911382879103    
1523896645        199292           352021882         550807           330204            214395249349     6405814984        5875283          764730022626      1911382879103    
1523896655        199292           352021882         550807           330254            214395260057     6405822617        5875283          764730022626      1911382879103    
1523896665        199292           352021882         550807           330302            214395270765     6405830250        5875284          764730022626      1911382879103    
1523896676        199294           352021882         550807           330350            214395281473     6405837883        5875287          764730022626      1911382879103    
1523896686        199294           352021882         550807           330398            214395292181     6405845516        5875287          764730022626      1911382879103    
1523896696        199294           352021882         550807           330446            214395302889     6405853149        5875287          764730022626      1911382879103    
1523896706        199294           352021882         550807           330496            214395313597     6405860782        5875287          764730022626      1911382879103    
1523896716        199294           352021882         550807           330544            214395324305     6405868425        5875287          764730022626      1911382879103    
1523896726        199294           352021882         550807           330592            214395335013     6405876058        5875287          764730022626      1911382879103    
1523896737        199294           352021882         550807           330638            214395345721     6405883691        5875287          764730022626      1911382879103    
1523896747        199296           352021882         550807           330684            214395356429     6405891324        5875291          764730022626      1911382879103    
1523896757        199296           352021882         550807           330730            214395367137     6405898957        5875291          764730022626      1911382879103    
1523896767        199296           352021882         550807           330778            214395377845     6405906590        5875291          764730022626      1911382879103    
1523896777        199296           352021882         550807           330826            214395388553     6405914222        5875291          764730022626      1911382879103    
1523896787        199296           352021882         550807           330874            214395399261     6405921855        5875292          764730022626      1911382879103    
1523896798        199296           352021882         550807           330922            214395409969     6405929488        5875292          764730022626      1911382879103    
1523896808        199296           352021882         550807           330972            214395420677     6405937121        5875292          764730022626      1911382879103    
1523896818        199298           352021882         550807           331020            214395431385     6405944754        5875295          764730022626      1911382879103    
1523896828        199298           352021882         550807           331070            214395442093     6405952386        5875295          764730022626      1911382879103    
1523896838        199298           352021882         550807           331118            214395452801     6405960019        5875295          764730022626      1911382879103    
1523896848        199298           352021882         550807           331166            214395463509     6405967652        5875295          764730022626      1911382879103    
1523896859        199298           352021882         550807           331214            214395474217     6405975284        5875296          764730022626      1911382879103    
1523896869        199298           352021882         550807           331262            214395484925     6405982917        5875296          764730022626      1911382879103    
1523896879        199298           352021882         550807           331310            214395495633     6405990550        5875296          764730022626      1911382879103    
1523896889        199298           352021882         550807           331358            214395506341     6405998183        5875296          764730022626      1911382879103    
1523896899        199300           352021882         550807           331406            214395517049     6406005816        5875299          764730022626      1911382879103    
1523896910        199300           352021882         550807           331454            214395527757     6406013449        5875299          764730022626      1911382879103    
1523896920        199300           352021882         550807           331502            214395538465     6406021082        5875300          764730022626      1911382879103    
1523896930        199300           352021882         550807           331552            214395549173     6406028714        5875300          764730022626      1911382879103    
1523896940        199300           352021882         550807           331600            214395559881     6406036348        5875300          764730022626      1911382879103    
1523896950        199300           352021882         550807           331648            214395570589     6406043981        5875301          764730022626      1911382879103    
1523896961        199300           352021882         550807           331696            214395581297     6406051614        5875301          764730022626      1911382879103    
1523896971        199302           352021882         550807           331744            214395592005     6406059247        5875304          764730022626      1911382879103    
1523896982        199303           352021882         550807           331793            214395602713     6406066880        5875306          764730022626      1911382879103    
1523896992        199303           352021882         550807           331841            214395613421     6406074513        5875306          764730022626      1911382879103    
1523897002        199303           352021882         550807           331893            214395624129     6406082145        5875306          764730022626      1911382879103    
1523897012        199303           352021882         550807           331941            214395634837     6406089778        5875306          764730022626      1911382879103    
1523897022        199304           352021882         550807           331991            214395645545     6406097411        5875306          764730022626      1911382879103    
1523897032        199305           352021882         550807           332039            214395656253     6406105044        5875306          764730022626      1911382879103    
