#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1519688497        21.959500         17.225100         21.209600         16.522000         0.000000          166.364000        21.209600        
1519688507        21.959500         17.225100         21.209600         16.522000         0.000000          166.368000        21.209600        
1519688517        21.959500         17.225100         21.209600         16.522000         0.000000          166.368000        21.209600        
1519688528        21.959500         17.225100         21.209600         16.522000         0.000000          166.367000        21.209600        
1519688539        21.959500         17.225100         21.209600         16.522000         0.000000          166.369000        21.209600        
1519688549        21.959500         17.225100         21.209600         16.522000         0.000000          166.365000        21.209600        
1519688560        21.959500         17.225100         21.209600         16.522000         0.000000          166.368000        21.209600        
1519688570        21.959500         17.225100         21.209600         16.522000         0.000000          166.367000        21.209600        
1519688580        21.959500         17.225100         21.209600         16.522000         0.000000          166.368000        21.209600        
1519688590        21.959500         17.225100         21.209600         16.522000         0.000000          166.366000        21.209600        
1519688600        21.959500         17.225100         21.209600         16.522000         0.000000          166.370000        21.209600        
1519688611        21.959500         17.225100         21.209600         16.522000         0.000000          166.368000        21.209600        
1519688621        21.959500         17.225100         21.209600         16.522000         0.000000          166.370000        21.209600        
1519688631        21.959500         17.225100         21.209600         16.522000         0.000000          166.369000        21.209600        
1519688641        21.959500         17.225100         21.209600         16.522000         0.000000          166.371000        21.209600        
1519688652        21.959500         17.225100         21.209600         16.522000         0.000000          166.366000        21.209600        
1519688662        21.959500         17.225100         21.209600         16.522000         0.000000          166.371000        21.209600        
1519688672        21.959500         17.225100         21.209600         16.522000         0.000000          166.367000        21.209600        
1519688684        21.959500         17.225100         21.209600         16.522000         0.000000          166.369000        21.209600        
1519688694        21.959500         17.225100         21.209600         16.522000         0.000000          166.367000        21.209600        
1519688704        21.959500         17.225100         21.209600         16.522000         0.000000          166.369000        21.209600        
1519688714        21.959500         17.225100         21.209600         16.522000         0.000000          166.371000        21.209600        
1519688724        21.959500         17.225100         21.209600         16.522000         0.000000          166.371000        21.209600        
1519688735        21.959500         17.225100         21.209600         16.522000         0.000000          166.365000        21.209600        
1519688745        21.959500         17.225100         21.209600         16.522000         0.000000          166.369000        21.209600        
1519688755        21.959500         17.225100         21.209600         16.522000         0.000000          166.366000        21.209600        
1519688766        21.959500         17.225100         21.209600         16.522000         0.000000          166.369000        21.209600        
1519688776        21.959500         17.225100         21.209600         16.522000         0.000000          166.370000        21.209600        
1519688786        21.959500         17.225100         21.209600         16.522000         0.000000          166.369000        21.209600        
1519688796        21.959500         17.225100         21.209600         16.522000         0.000000          166.365000        21.209600        
1519688806        21.959500         17.225100         21.209600         16.522000         0.000000          166.369000        21.209600        
1519688816        21.959500         17.225100         21.209600         16.522000         0.000000          166.366000        21.209600        
1519688827        21.959500         17.225100         21.209600         16.522000         0.000000          166.368000        21.209600        
