#TIME Node0_NumHit Node1_NumHit Node0_NumMiss Node1_NumMiss Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1519684323 3167276 1758717 0 3866338 3167055 1758360 221 3866694 72306.45 94034.84 24659.58 4268.67
1519684333 3167507 1758782 0 3866338 3167286 1758426 221 3866694 80514.13 94036.16 16457.95 4267.93
1519684343 3168084 1758849 0 3866338 3167863 1758492 221 3866694 76110.43 94037.70 20858.50 4266.87
1519684353 3168112 1758913 0 3866338 3167891 1758557 221 3866694 72305.87 94037.22 24659.55 4267.38
1519684363 3168124 1758981 0 3866338 3167902 1758625 221 3866694 72306.35 94037.83 24659.67 4267.25
1519684374 3168135 1759044 0 3866338 3167914 1758688 221 3866694 72304.53 94034.55 24661.00 4269.98
1519684384 3168147 1759114 0 3866338 3167926 1758758 221 3866694 72306.37 94037.23 24659.66 4266.89
1519684394 3168159 1759180 0 3866338 3167938 1758824 221 3866694 72305.87 94036.37 24659.55 4267.23
1519684404 3168171 1759249 0 3866338 3167949 1758892 221 3866694 72306.52 94036.75 24658.90 4267.75
1519684414 3168181 1759314 0 3866338 3167960 1758958 221 3866694 72306.49 94036.33 24658.93 4267.68
1519684424 3168193 1759382 0 3866338 3167972 1759026 221 3866694 72306.48 94038.72 24658.94 4266.37
1519684434 3168207 1759449 0 3866338 3167986 1759093 221 3866694 72306.66 94037.11 24658.77 4267.46
1519684445 3168220 1759515 0 3866338 3167998 1759158 221 3866694 72306.99 94038.48 24659.04 4266.06
1519684455 3168230 1759583 0 3866338 3168009 1759227 221 3866694 72306.51 94038.24 24658.91 4265.82
1519684465 3168999 1759648 0 3866338 3168778 1759292 221 3866694 76638.71 94037.24 20326.71 4266.76
1519684475 3169049 1759718 0 3866338 3168828 1759361 221 3866694 72302.88 94037.81 24662.54 4266.27
1519684485 3169061 1759784 0 3866338 3168840 1759428 221 3866694 72303.23 94037.79 24661.70 4266.71
1519684496 3169070 1759850 0 3866338 3168849 1759493 221 3866694 72302.63 94034.89 24662.79 4269.62
1519684506 3169083 1759917 0 3866338 3168862 1759561 221 3866694 72303.04 94036.16 24662.98 4267.84
1519684516 3169096 1759983 0 3866338 3168875 1759626 221 3866694 72302.55 94036.03 24662.87 4266.98
1519684526 3169108 1760049 0 3866338 3168887 1759693 221 3866694 72302.25 94036.84 24663.17 4266.74
1519684537 3169121 1760114 0 3866338 3168900 1759758 221 3866694 72302.76 94038.04 24662.17 4266.59
1519684547 3169132 1760183 0 3866338 3168911 1759827 221 3866694 72302.89 94038.31 24662.53 4265.25
